Southbound,/,Westbound,Northbound,/,Eastbound,,,,,,,,,,,,,,
Non-SunPass,SunPass,Total,,,,,,,,,,,,,,,,,
Direction,Total,,,,,,,,,,,,,,,,,,
Non-SunPass,SunPass,,,,,,,,,,,,,,,,,,
Direction,Total,,,,,,,,,,,,,,,,,,
Man,ORT,Toll,Type,Total,Man,ORT,Toll,Type,Total,Man,ORT,Toll,Type,Total,Man,ORT,Toll,Type,Total
14,41,18,59,5,205,210,269,31,35,66,1,159,160,226,495,,,,
15,38,17,55,2,187,189,244,32,38,70,1,191,192,262,506,,,,
16,32,25,57,4,193,197,254,27,30,57,3,202,205,262,516,,,,
17,37,21,58,6,206,212,270,29,24,53,0,174,174,227,497,,,,
18,16,16,32,3,143,146,178,20,26,46,0,133,133,179,357,,,,
19,16,8,24,3,92,95,119,22,23,45,0,90,90,135,254,,,,
20,8,4,12,1,37,38,50,15,14,29,0,83,83,112,162,,,,
21,7,4,11,4,22,26,37,9,12,21,2,64,66,87,124,,,,
22,3,5,8,1,23,24,32,10,3,13,1,32,33,46,78,,,,
23,4,0,4,0,7,7,11,5,7,12,0,33,33,45,56,,,,
All,Hours,445,241,686,49,"2,655","2,704","3,390",391,500,891,11,"2,405","2,416","3,307","6,697",,,
March,"07,",2018,0,4,2,6,0,6,6,12,4,2,6,0,18,18,24,36,
1,0,0,0,0,3,3,3,2,5,7,0,10,10,17,20,,,,
Southbound,/,Westbound,Northbound,/,Eastbound,,,,,,,,,,,,,,
Non-SunPass,SunPass,Total,,,,,,,,,,,,,,,,,
Direction,Total,,,,,,,,,,,,,,,,,,
Non-SunPass,SunPass,,,,,,,,,,,,,,,,,,
Direction,Total,,,,,,,,,,,,,,,,,,
Man,ORT,Toll,Type,Total,Man,ORT,Toll,Type,Total,Man,ORT,Toll,Type,Total,Man,ORT,Toll,Type,Total
March,"07,",2018,2,2,0,2,0,6,6,8,2,1,3,0,8,8,11,19,
3,3,2,5,0,14,14,19,3,0,3,0,12,12,15,34,,,,
4,3,2,5,2,39,41,46,4,11,15,0,38,38,53,99,,,,
